Age,Sex,DeathProb,NumberOfLives,LifeExp
0,Male,0.006383,"100,000",76.15
1,Male,0.000453,"99,362",75.63
2,Male,0.000282,"99,317",74.67
3,Male,0.00023,"99,289",73.69
4,Male,0.000169,"99,266",72.71
5,Male,0.000155,"99,249",71.72
6,Male,0.000145,"99,234",70.73
7,Male,0.000135,"99,219",69.74
8,Male,0.00012,"99,206",68.75
9,Male,0.000105,"99,194",67.76
10,Male,9.40E-05,"99,184",66.76
11,Male,9.90E-05,"99,174",65.77
12,Male,0.000134,"99,164",64.78
13,Male,0.000207,"99,151",63.79
14,Male,0.000309,"99,131",62.8
15,Male,0.000419,"99,100",61.82
16,Male,0.00053,"99,059",60.84
17,Male,0.000655,"99,006",59.88
18,Male,0.000791,"98,941",58.91
19,Male,0.000934,"98,863",57.96
20,Male,0.001085,"98,771",57.01
21,Male,0.001228,"98,663",56.08
22,Male,0.001339,"98,542",55.14
23,Male,0.001403,"98,410",54.22
24,Male,0.001433,"98,272",53.29
25,Male,0.001451,"98,131",52.37
26,Male,0.001475,"97,989",51.44
27,Male,0.001502,"97,844",50.52
28,Male,0.001538,"97,698",49.59
29,Male,0.001581,"97,547",48.67
30,Male,0.001626,"97,393",47.75
31,Male,0.001669,"97,235",46.82
32,Male,0.001712,"97,072",45.9
33,Male,0.001755,"96,906",44.98
34,Male,0.0018,"96,736",44.06
35,Male,0.001855,"96,562",43.14
36,Male,0.00192,"96,383",42.22
37,Male,0.001988,"96,198",41.3
38,Male,0.00206,"96,006",40.38
39,Male,0.002141,"95,809",39.46
40,Male,0.00224,"95,603",38.54
41,Male,0.002362,"95,389",37.63
42,Male,0.002509,"95,164",36.72
43,Male,0.002684,"94,925",35.81
44,Male,0.00289,"94,671",34.9
45,Male,0.003121,"94,397",34
46,Male,0.003386,"94,102",33.11
47,Male,0.003707,"93,784",32.22
48,Male,0.004091,"93,436",31.34
49,Male,0.004531,"93,054",30.46
50,Male,0.005013,"92,632",29.6
51,Male,0.005524,"92,168",28.75
52,Male,0.006059,"91,659",27.9
53,Male,0.006611,"91,103",27.07
54,Male,0.007187,"90,501",26.25
55,Male,0.0078,"89,851",25.43
