State,Votes,Winning Party
Alabama,9,Republicans
Alaska,3,Republicans
Arizona,11,Republicans
Arkansas,6,Republicans
California,55,Democrats
Colorado,9,Democrats
Connecticut,7,Democrats
Delaware,3,Democrats
Florida,29,Republicans
Georgia,16,Republicans
Hawaii,4,Democrats
Idaho,4,Republicans
Illinois,20,Democrats
Indiana,11,Republicans
Iowa,6,Republicans
Kansas,6,Republicans
Kentucky,8,Republicans
Lousiana,8,Republicans
Maine,3,Democrats
Maine,1,Republicans
Maryland,10,Democrats
Massachusetts,11,Democrats
Michigan,16,Republicans
Mississippi,6,Republicans
Minnesota,10,Democrats
Missouri,10,Republicans
Montana,3,Republicans
Nebraska,5,Republicans
Nevada,6,Democrats
New Hampshire,4,Democrats
New Jersey,14,Democrats
New Mexico,5,Democrats
New York,29,Democrats
North Carolina,15,Republicans
North Dakota,3,Republicans
Ohio,18,Republicans
Oklahoma,7,Republicans
Oregon,7,Democrats
Pennsylvania,20,Republicans
Rhode Island,4,Democrats
South Carolina,9,Republicans
South Dakota,3,Republicans
Tennessee,11,Republicans
Texas,38,Republicans
Utah,6,Republicans
Vermont,3,Democrats
Virginia,13,Democrats
Washington,12,Democrats
District of Columbia,3,Democrats
West Virginia,5,Republicans
Wisconsin,10,Republicans
Wyoming,3,Republicans
